date_oper,client,share,quantity,price
2022-01-13T17:36:32,016084,VTBR,15000000.0,0.006013
2022-01-13T17:36:37,016084,VTBR,10000000.0,0.006014
2022-01-13T17:36:39,016084,VTBR,10000000.0,0.006015
2022-01-13T17:36:40,016084,VTBR,7000000.0,0.006012
2022-01-13T21:23:07,016084,VTBR,-40000000.0,0.00602
2022-01-13T21:23:10,016084,VTBR,1000000.0,0.006016
2022-01-13T21:23:12,016084,VTBR,10000000.0,0.006018
2022-01-13T21:23:18,016084,VTBR,-1500000.0,0.006012
2022-01-13T21:23:19,016084,VTBR,-1000000.0,0.006013
2022-01-13T21:23:26,016084,VTBR,-500000.0,0.00601
2022-01-13T21:23:28,016084,VTBR,-2000000.0,0.006025
2022-01-13T21:23:33,016084,VTBR,-2000000.0,0.00603
2022-01-13T21:23:34,016084,VTBR,-6000000.0,0.00603
2022-01-14T10:10:34,016085,ADT,0.5367,80.15
2022-01-14T11:15:18,016085,ADT,0.483,81.15
2022-01-14T11:15:19,016085,ADT,0.283,81.15
2022-01-14T12:15:20,016085,ADT,-1.0889,82.25
2022-01-14T12:15:21,016085,ADT,-0.2138,82.28
